iter	RMSE
0	70256.08316
1	61827.79215
2	56095.73977
3	50370.94855
4	46064.31271
5	42234.23953
6	39336.44921
7	37129.65702
8	35126.01962
9	33202.07215
10	31768.59521
11	30531.10273
12	29720.55867
13	28821.39472
14	28333.27763
15	27374.07179
16	26830.88555
17	26126.17772
18	25559.96066
19	25070.99055
20	24616.44238
21	24325.1825
22	23936.05955
23	23485.80698
24	23132.68403
25	22802.9853
26	22651.27686
27	22412.30845
28	22281.5229
29	21988.11518
30	21655.02752
31	21207.40941
32	21063.3408
33	20859.91754
34	20491.46879
35	20309.87682
36	20142.22906
37	19954.83191
38	19756.08162
39	19578.39398
40	19371.63974
41	19243.24703
42	19035.66874
43	18914.13236
44	18786.39907
45	18676.52689
46	18450.11455
47	18360.26619
48	18280.91529
49	18104.75775
50	17907.87463
51	17812.53749
52	17737.28847
53	17598.46612
54	17491.0132
55	17421.20995
56	17342.63506
57	17206.58705
58	17093.95531
59	16930.47032
60	16764.7078
61	16665.60057
62	16556.87538
63	16431.78942
64	16355.14509
65	16222.90946
66	16100.20738
67	15995.29188
68	15965.68011
69	15888.2032
70	15809.80453
71	15703.68933
72	15619.02149
73	15589.8599
74	15463.44842
75	15340.55048
76	15250.33207
77	15184.36872
78	15103.08194
79	15019.38421
80	14938.09994
81	14826.28532
82	14737.03853
83	14633.71059
84	14555.43197
85	14432.63247
86	14369.67892
87	14346.92209
88	14281.40851
89	14197.52463
90	14109.32593
91	14040.73593
92	13992.11572
93	13887.18075
94	13783.88114
95	13757.05281
96	13693.21396
97	13623.50443
98	13561.65239
99	13506.50553
100	13447.39658
101	13354.08382
102	13297.29143
103	13244.55806
104	13195.92764
105	13122.52512
106	13082.15362
107	12998.3071
108	12959.262
109	12883.42983
110	12831.47964
111	12785.15946
112	12721.08462
113	12663.41903
114	12581.56382
115	12529.29792
116	12490.65079
117	12441.99775
118	12398.49492
119	12351.59913
120	12286.52636
121	12248.57442
122	12199.84554
123	12132.46455
124	12070.19414
125	12021.71079
126	12007.82475
127	11956.79946
128	11911.26391
129	11838.94438
130	11769.36808
131	11727.79211
132	11687.63643
133	11621.36237
134	11568.9955
135	11496.33296
136	11445.76296
137	11371.15896
138	11339.38523
139	11302.57364
140	11245.15121
141	11191.92886
142	11135.36221
143	11088.32387
144	11062.39221
145	11002.07248
146	10948.35931
147	10891.3616
148	10849.49514
149	10810.64796
150	10772.9376
151	10723.45273
152	10684.91946
153	10629.51404
154	10586.59314
155	10552.77261
156	10531.92005
157	10505.32739
158	10449.93748
159	10402.71081
160	10373.38845
161	10316.50522
162	10285.15758
163	10246.83903
164	10205.75817
165	10167.08319
166	10124.57144
167	10093.24725
168	10066.72684
169	10018.13081
170	9986.738436
171	9929.511694
172	9880.989725
173	9854.857253
174	9801.848353
175	9767.17285
176	9742.485
177	9720.389092
178	9674.771801
179	9635.658901
180	9601.22617
181	9582.855152
182	9562.525106
183	9547.128244
184	9535.752743
185	9512.576736
186	9481.72826
187	9439.515182
188	9426.413209
189	9389.010953
190	9364.041462
191	9353.713205
192	9322.034543
193	9299.312799
194	9275.437264
195	9244.893785
196	9214.862834
197	9194.240689
198	9165.026731
199	9138.711062
200	9108.351436
201	9070.995262
202	9037.647818
203	9016.469036
204	8964.67996
205	8946.927198
206	8924.971246
207	8895.25417
208	8863.737268
209	8837.244951
210	8817.931806
211	8782.997333
212	8762.548905
213	8735.335762
214	8697.766425
215	8668.12478
216	8643.117697
217	8632.387025
218	8601.399304
219	8569.261585
