Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,3,108,0,22.0,1,0,559,7.25,0,0
1,1,190,1,38.0,1,0,613,71.2833,103,1
1,3,353,1,26.0,0,0,672,7.925,0,0
1,1,272,1,35.0,1,0,47,53.1,19,0
0,3,15,0,35.0,0,0,515,8.05,0,0
0,3,554,0,29.69911764705882,0,0,342,8.4583,0,2
0,1,515,0,54.0,0,0,195,51.8625,136,0
0,3,624,0,2.0,3,1,14,21.075,0,0
1,3,412,1,27.0,0,2,28,11.1333,0,0
1,2,576,1,14.0,1,0,66,30.0708,0,1
1,3,727,1,4.0,1,1,128,16.7,2,0
1,1,95,1,58.0,0,0,163,26.55,83,0
0,3,729,0,20.0,0,0,571,8.05,0,0
0,3,28,0,39.0,1,5,1,31.275,0,0
0,3,840,1,14.0,0,0,470,7.8542,0,0
1,2,359,1,55.0,0,0,245,16.0,0,0
0,3,682,0,2.0,4,1,6,29.125,0,2
1,2,867,0,29.69911764705882,0,0,243,13.0,0,0
0,3,839,1,31.0,1,0,368,18.0,0,0
1,3,512,1,29.69911764705882,0,0,268,7.225,0,1
0,2,273,0,35.0,0,0,67,26.0,0,0
1,2,80,0,34.0,0,0,244,13.0,124,0
1,3,523,1,15.0,0,0,345,8.0292,0,2
1,1,765,0,28.0,0,0,167,35.5,59,0
0,3,626,1,8.0,3,1,14,21.075,0,0
1,3,44,1,38.0,1,5,13,31.3875,0,0
0,3,240,0,29.69911764705882,0,0,264,7.225,0,1
0,1,260,0,19.0,3,2,11,263.0,1,0
1,3,605,1,29.69911764705882,0,0,350,7.8792,0,2
0,3,813,0,29.69911764705882,0,0,421,7.8958,0,0
0,1,828,0,40.0,0,0,615,27.7208,0,1
1,1,776,1,29.69911764705882,1,0,121,146.5208,76,1
1,3,289,1,29.69911764705882,0,0,355,7.75,0,2
0,2,856,0,66.0,0,0,583,10.5,0,0
0,1,535,0,28.0,1,0,123,82.1708,0,1
0,1,372,0,42.0,1,0,45,52.0,0,0
1,3,505,0,29.69911764705882,0,0,279,7.2292,0,1
0,3,134,0,21.0,0,0,551,8.05,0,0
0,3,837,1,18.0,2,0,92,18.0,0,0
1,3,589,1,14.0,1,0,78,11.2417,0,1
0,3,7,1,40.0,1,0,544,9.475,0,0
0,2,827,1,27.0,1,0,49,21.0,0,0
0,3,446,0,29.69911764705882,0,0,449,7.8958,0,1
1,2,456,1,3.0,1,2,39,41.5792,0,1
1,3,212,1,19.0,0,0,349,7.8792,0,2
0,3,697,0,29.69911764705882,0,0,625,8.05,0,0
0,3,473,0,29.69911764705882,1,0,506,15.5,0,2
1,3,604,1,29.69911764705882,0,0,190,7.75,0,2
0,3,726,0,29.69911764705882,2,0,270,21.6792,0,1
0,3,38,1,18.0,1,0,95,17.8,0,0
0,3,629,0,7.0,4,1,3,39.6875,0,0
0,3,594,0,21.0,0,0,558,7.8,0,0
1,1,333,1,49.0,1,0,35,76.7292,34,1
1,2,246,1,29.0,1,0,310,26.0,0,0
0,1,620,0,65.0,0,1,158,61.9792,65,1
1,1,873,0,29.69911764705882,0,0,200,35.5,24,0
1,2,707,1,21.0,0,0,588,10.5,0,0
0,3,595,0,28.5,0,0,290,7.2292,0,1
1,2,853,1,5.0,1,2,33,27.75,0,0
0,3,299,0,11.0,5,2,5,46.9,0,0
0,3,749,0,22.0,0,0,274,7.2292,0,1
1,1,385,1,38.0,0,0,43,80.0,11,0
0,1,337,0,45.0,1,0,104,83.475,28,0
0,3,755,0,4.0,3,2,4,27.9,0,0
0,1,784,0,29.69911764705882,0,0,617,27.7208,0,1
1,3,560,0,29.69911764705882,1,1,81,15.2458,0,1
1,2,596,1,29.0,0,0,586,10.5,7,0
0,3,185,0,19.0,0,0,628,8.1583,0,0
1,3,25,1,17.0,4,2,317,7.925,0,0
0,3,440,0,26.0,2,0,337,8.6625,0,0
0,2,396,0,32.0,0,0,589,10.5,0,0
0,3,300,1,16.0,5,2,5,46.9,0,0
0,2,376,0,21.0,0,0,7,73.5,0,0
0,3,161,0,26.0,1,0,280,14.4542,0,1
1,3,87,0,32.0,0,0,0,56.4958,0,0
0,3,546,0,25.0,0,0,406,7.65,44,0
0,3,778,0,29.69911764705882,0,0,414,7.8958,0,0
0,3,563,0,29.69911764705882,0,0,516,8.05,0,0
1,2,127,0,0.83,0,2,71,29.0,0,0
1,3,223,1,30.0,0,0,98,12.475,0,0
0,3,842,0,22.0,0,0,370,9.0,0,0
1,3,737,0,29.0,0,0,376,9.5,0,0
1,3,519,1,29.69911764705882,0,0,347,7.7875,0,2
0,1,141,0,28.0,0,0,155,47.1,0,0
1,2,386,1,17.0,0,0,641,10.5,0,0
1,3,52,1,33.0,3,0,90,15.85,0,0
0,3,255,0,16.0,1,3,18,34.375,0,0
0,3,764,0,29.69911764705882,0,0,656,8.05,0,0
1,1,259,1,23.0,3,2,11,263.0,1,0
