Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0.0,3.0,23.0,0.0,22.0,1.0,0.0,559.0,7.25,0.0,0.0
1.0,1.0,51.0,1.0,38.0,1.0,0.0,613.0,71.2833,104.0,1.0
1.0,3.0,22.0,1.0,26.0,0.0,0.0,672.0,7.925,0.0,0.0
1.0,1.0,44.0,1.0,35.0,1.0,0.0,47.0,53.1,20.0,0.0
0.0,3.0,24.0,0.0,35.0,0.0,0.0,515.0,8.05,0.0,0.0
0.0,3.0,16.0,0.0,-1.0,0.0,0.0,342.0,8.4583,0.0,2.0
0.0,1.0,23.0,0.0,54.0,0.0,0.0,195.0,51.8625,137.0,0.0
0.0,3.0,30.0,0.0,2.0,3.0,1.0,14.0,21.075,0.0,0.0
1.0,3.0,49.0,1.0,27.0,0.0,2.0,28.0,11.1333,0.0,0.0
1.0,2.0,35.0,1.0,14.0,1.0,0.0,66.0,30.0708,0.0,1.0
1.0,3.0,31.0,1.0,4.0,1.0,1.0,128.0,16.7,3.0,0.0
1.0,1.0,24.0,1.0,58.0,0.0,0.0,163.0,26.55,84.0,0.0
0.0,3.0,30.0,0.0,20.0,0.0,0.0,571.0,8.05,0.0,0.0
0.0,3.0,27.0,0.0,39.0,1.0,5.0,1.0,31.275,0.0,0.0
0.0,3.0,36.0,1.0,14.0,0.0,0.0,470.0,7.8542,0.0,0.0
1.0,2.0,32.0,1.0,55.0,0.0,0.0,245.0,16.0,0.0,0.0
0.0,3.0,20.0,0.0,2.0,4.0,1.0,6.0,29.125,0.0,2.0
1.0,2.0,28.0,0.0,-1.0,0.0,0.0,243.0,13.0,0.0,0.0
0.0,3.0,55.0,1.0,31.0,1.0,0.0,368.0,18.0,0.0,0.0
1.0,3.0,23.0,1.0,-1.0,0.0,0.0,268.0,7.225,0.0,1.0
0.0,2.0,20.0,0.0,35.0,0.0,0.0,67.0,26.0,0.0,0.0
1.0,2.0,21.0,0.0,34.0,0.0,0.0,244.0,13.0,125.0,0.0
1.0,3.0,27.0,1.0,15.0,0.0,0.0,345.0,8.0292,0.0,2.0
1.0,1.0,28.0,0.0,28.0,0.0,0.0,167.0,35.5,60.0,0.0
0.0,3.0,29.0,1.0,8.0,3.0,1.0,14.0,21.075,0.0,0.0
1.0,3.0,57.0,1.0,38.0,1.0,5.0,13.0,31.3875,0.0,0.0
